Hit Count,Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer 
238,https://www.amazon.in//Lavie-Womens-Laptop-Ladies-Handbag/dp/B0B7JJ8BB3/ref=sr_1_226?crid=2M096C61O4MLT&keywords=bags&qid=1679492155&sprefix=ba%2Caps%2C283&sr=8-226,Lavie Women's Mento Laptop Bag | Ladies Purse Handbag,"1,379",4.6,10,"  Sleek laptop bag which can be teamed well with your formal dresses.    Features dual shoulder handles.    Functional and trendy, this laptop handbag from Lavie will carry all your essentials for your day.    Made from high quality and soft material, this handbag features a well-stitched inner lining for easy accessibility and storage.    Carry to work with style & comfort.   ",B0B7JJ8BB3,,Bagzone Lifestyle Pvt Ltd 
239,https://www.amazon.in//uppercase-Professional-Backpack-resistant-sustainable/dp/B0BR1D4SL1/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1679492155&sprefix=ba%2Caps%2C283&sr=8-227,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.9,18,"  Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty   ",B0BR1D4SL1,,Acefour Accessories Pvt. Ltd. 
243,https://www.amazon.in//Skybags-Unisex-Grey-Jacqard-Laptop/dp/B09ZV9SLBJ/ref=sr_1_229?crid=2M096C61O4MLT&keywords=bags&qid=1679492208&sprefix=ba%2Caps%2C283&sr=8-229,Skybags Unisex Grey Jacqard 34L Laptop Bags,"1,319",4.0,20,"  Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack   ",B09ZV9SLBJ,"Ideal for a working professional travelling to work by bus, train, ola/uber/cab etc. Laptop compatibility & professional looking backpack","VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India "
244,https://www.amazon.in//Heart-Home-Printed-Backpack-HS_38_HEARTH21105/dp/B095CGX9RT/ref=sr_1_230?crid=2M096C61O4MLT&keywords=bags&qid=1679492208&sprefix=ba%2Caps%2C283&sr=8-230,Heart Home Rexien Disney Mickey Mouse Printed Kids School Bag|Zipper Closure With 3 Comparments|Size 27 x 22 x 40 CM (Green)-HS_38_HEARTH21105,697,3.9,182,"  PACKAGE CONTAINS: 1 Piece Disney Print School Bag    MATERIAL: Rexine    PRODUCT DIMENSION: 27 x 22 x 40 CM    USE: Our school backpack is perfect for kids, teen girls, girls, ladies, womensUsing at elementary school, middle school, high school, college students, Multifunctional for picnic, hiking, camping, travel, outdoor, sports, etc    LIGHTWEIGHT: This backpack is made of durable water-resistant rexien which is lightweight and easy to cleanThe child-size backpack is perfect for toddlers going to preschool or play datesThe adjustable padded shoulder straps offer support and comfort   ",,"Heart Home backpacks can easily carry books, gym clothes, pencils and more! These day packs feature a roomy main compartment and a front zip compartment that is perfect for smaller supplies. This bag can be hung up when not in use by the padded handle. This school bag is designed in durable fabric with adjustable padded shoulder straps and a padded back for added comfort. The side mesh pockets are made from durable athletic mesh so your boy or girl can easily carry their water bottle with them. Go to school, work, the gym, or anywhere else with cool images of your favorite Mickey Mouse character.",
245,https://www.amazon.in//Wildcraft-Hopper-Laptop-Backpack-Blue/dp/B07YNL6H8H/ref=sr_1_231?crid=2M096C61O4MLT&keywords=bags&qid=1679492208&sprefix=ba%2Caps%2C283&sr=8-231,Wildcraft Hopper 1.0 Laptop Backpack 24L (Blue),"1,390",4.5,2,  Capacity - 24 L    Colour : Blue    Extremely convenient to carry   ,B07YNL6H8H,This Laptop Backpack ha capacity of 24 L. This comes in blue colour.,
246,https://www.amazon.in//Osaka-Pro-Waterproof-Accessories-Others-Made/dp/B081Z1TVPQ/ref=sr_1_232?crid=2M096C61O4MLT&keywords=bags&qid=1679492208&sprefix=ba%2Caps%2C283&sr=8-232,"Osaka Pro Series-11 Waterproof DSLR Backpack Camera Bag, Lens Accessories Carry Case for Nikon, Canon, Olympus, Pentax & Others-Made in India",830,3.9,567,"  PROFESSIONAL PHOTOGRAPHER’S DSLR & ACCESSORY CARRY BAG: Carry DSLR/SLR camera, lens, tripod, flash light & other accessories: This hiking camera backpack is 10”x6""x13” and yet lightweight, allows you to carry all kinds of equipment    100% MADE IN INDIA PRODUCT WITH DURABLE, WATER RESISTANT MATERIALS: This Product is Made-in India with high-quality water resistant nylon and polyester, durable metal zippers, this bag lets you carry your expensive equipment safely in all weathers    EXTERNAL BASE ZIPPER ENCLOSURE WITH WATERPROOF COVER, MESH POCKET & STRAP TO CARRY TRIPOD: The waterproof cover is located conveniently at the base zipper enclosure, at the event of rain, you don't have to open the bag, just unzip the base enclosure and pull out the cover. Adjustable Strap on one side can easily carry a tripod and mesh pocket is ideal to carry a water bottle.    ADJUSTABLE CUSTOMISABLE PADDED DIVIDERS WITH VARIOUS MESH POCKETS: You can make space according to your gear. Remove all the padded dividers if you want to use it as a regular backpack, just remove the dividers and carry your stuff. You can also carry cables, chargers, lens cleaners etc in the zipper mesh pockets.    TWICE CUSHINED SUPER QUALITY HANDLE: The best in class twice cushioned top handle provided maximum comfort while holding the bag from the handle.   ",,This Laptop Backpack ha capacity of 24 L. This comes in blue colour.,
247,https://www.amazon.in//Anti-Theft-Backpack-Expandable-Water-resistant-Convertible/dp/B0B6FZ3YNV/ref=sr_1_233?crid=2M096C61O4MLT&keywords=bags&qid=1679492208&sprefix=ba%2Caps%2C283&sr=8-233,"Golden Wolf Backpack 35L Expandable Travel Backpack for Men and Women Anti-theft Laptop Bag with Lock Water-resistant Convertible Backpack with USB Port Travel Business College Bag for Men,Black","2,564",4.4,37,"  [Expandable & Large Capacity]-- The Backpack is Expandable by 9cm,about 38L super large capacity.profect for travel.you just need to open the zipper to change a large capacity travel backpack.easy to use for daily use and travel.according for your need,Freely change the mode. Golden Wolf original bag, 100% guarantee, two-year warranty.    [Convertible Laptop Bag with Lock System]--This backpack comes with a high-quality lock on the main compartment to avoid theft of the contents of your bag.Ensure secure storage of valuables in the pocket.there ate a thick handle,and the shoulder strap can be hidden fully.So can be carried by hand.    [Multi-function laptop backpack]-- This backpack is designed for Business,Travel,School.38L expandable super capacity and breathable,thick back and shoulder strap for travel,with a laptop compartment and anti-theft lock,Retractable backpack is perfect for Business and School.    [Multi-pockets for store well]-- Four Zipper compartments for the backpack.1*small front compartment with hidden zipper+ 1*Large front compartments + 1*Main compartments with laptop pocket+ 1*waterproof side compartments.the anti-theft small compartments can store small items.the large front compartments with 5 pockets make you easy to find your items.the main expandable compartment with lock have a large capacity,you can store clothing and laptop for travle.   ",B0B6FZ3YNV,This Laptop Backpack ha capacity of 24 L. This comes in blue colour.,
248,https://www.amazon.in//Casual-Travel-Backpack-School-College/dp/B09PVCF9F8/ref=sr_1_234?crid=2M096C61O4MLT&keywords=bags&qid=1679492208&sprefix=ba%2Caps%2C283&sr=8-234,Airish 45 ltrs (46 Cms)Backpack(ARU-202_Green),664,3.6,156,"  Fit Type: Regular    SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 5 compartments. One compartment is for carrying laptop inside, with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps <br>    Has a carrying capacity of 35 litres, and dimensions of 46 x 30 x 23 centimeters. The bag is made out of durable PU coated polyester fabric and double dotted waterproof polyester for protection of all manner. <br>    The Blue color with grey undertones gives a neutral look and an advantage over excess dust collection. 3 main and an extra compartment provides ample storage space for accessories, electronics, notebooks and stationery. Also comes with bottle mesh pockets on either sides. <br>    Comfort First //The padded base, back and shoulder straps provide comfort and support for carrying heavy items for a long duration.; EXTRA COMFORT WITH CONVENIENCE: Very unique design styling and functional methodology; makes the backpack very light weight and provides comfort to your back while wearing. <br>    Lining Description: Polyurethane; Warranty Description: 1 Year Zip $ Stitching Warranty; Pattern Name: Woven; Special Features: Rain Cover; Style Name: Travel Backpacks; Compartment Description: Up To 15 Inches; Color Name: Green; Age Range Description: Adult; Pocket Description: Utility Pocket; Closure Type: Zipper Snap <br>   ",B09PVCF9F8,This Laptop Backpack ha capacity of 24 L. This comes in blue colour.,Airish Fashion 
249,https://www.amazon.in//Ace-Laptop-Backpack-Charging-College/dp/B09ZB5HGWB/ref=sr_1_237?crid=2M096C61O4MLT&keywords=bags&qid=1679492208&sprefix=ba%2Caps%2C283&sr=8-237,Large 26L Ace Laptop Backpack Laptop Bag | Office Bag With USB Charging Port | College Bag,569,4.0,1,"  Pen Pocket & Mobile Pocket Both Are Available Inside Of Backpack; Laptop Compartment Size 16"" With Thick Padded Use;    Pattern Name: Solid; Style Name: Travel Backpacks; Age Range Description: Adult; Pocket Description: Utility Pocket    Well cushioned Laptop compartment for upto 15.6 inch Laptop and spacious enough to carry for two days cloths   ",B09ZB5HGWB,This Laptop Backpack ha capacity of 24 L. This comes in blue colour.,Airish Fashion 
250,https://www.amazon.in//Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ/ref=sr_1_238?crid=2M096C61O4MLT&keywords=bags&qid=1679492208&sprefix=ba%2Caps%2C283&sr=8-238,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",699,3.9,300,"  SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.    SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    ENDURING & LONG LASTING: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. INTERNAL ORGANISER: This backpack has an Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.    OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover , Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Strong and Durable Zippers, Reflector Logo.   ",B09842K4RQ,This Laptop Backpack ha capacity of 24 L. This comes in blue colour.,AB Amazing Bags 
